
Date,Day #,Phase,Task,Owner,Dependencies,Requirements,Deliverable,Week
2026-04-21,162,Harmonise Operations & Pricing,Conduct staff training on new pricing and operations; ensure understanding of changes.,You,"[152, 154, 157]",['Training sessions'],Staff trained,33
2026-04-22,163,Harmonise Operations & Pricing,Launch internal communications to announce changes; update staff on new pricing and operating procedures.,You,[162],['Communication plan'],Internal communications delivered,33
2026-04-23,164,Harmonise Operations & Pricing,Implement new pricing in billing system; update subscription plans and contracts; notify clients.,CPA,"[160, 163]",['Billing system'],New pricing implemented,33
2026-04-24,165,Harmonise Operations & Pricing,Review and update legal contracts to reflect new pricing and terms; execute amendments.,Corporate Attorney,[164],['Amendment documents'],Contracts updated,33
2026-04-27,166,Harmonise Operations & Pricing,Harmonize metrics and reporting; unify KPIs across OpCos; update dashboards to reflect new metrics.,Automation System,"[153, 155]",['KPI definitions'],KPIs standardized,34
2026-04-28,167,Harmonise Operations & Pricing,"Standardize customer service policies; unify refund, guarantee, and escalation policies across entities.",You,[153],['Policy templates'],Customer service policies harmonized,34
2026-04-29,168,Harmonise Operations & Pricing,Conduct technology integration; unify tools; migrate duplicate systems to central platforms.,Automation System,[166],['Integration plan'],Technology stack unified,34
2026-04-30,169,Harmonise Operations & Pricing,Implement quality assurance processes; schedule regular audits; assign QA manager.,You,[164],['QA checklist'],Quality assurance process implemented,34
2026-05-01,170,Harmonise Operations & Pricing,Harmonize training and onboarding processes; align training materials; cross-train staff across OpCos.,Consultants,[162],['Training materials'],Training processes aligned,34
2026-05-04,171,Harmonise Operations & Pricing,"Review and update HR policies; unify benefits, job descriptions, and compensation structures across entities.",You,[163],['HR policies'],HR policies standardized,35
2026-05-05,172,Harmonise Operations & Pricing,Harmonize sales processes; unify proposals; train sales teams on new procedures.,You,"[161, 162]",['Sales guides'],Sales processes unified,35
2026-05-06,173,Harmonise Operations & Pricing,Align marketing campaigns and collateral; unify cross-selling messaging across all businesses.,ToriMedia,[143],['Marketing collateral'],Marketing campaigns aligned,35
2026-05-07,174,Harmonise Operations & Pricing,Perform financial reconciliations; test for consistency across entities; adjust any discrepancies.,CPA,"[166, 169]",['Financial statements'],Financial reconciliations completed,35
2026-05-08,175,Harmonise Operations & Pricing,Conduct risk assessment and compliance review; update internal controls and processes.,You,"[68, 169]",['Risk assessment'],Risk and compliance review completed,35
2026-05-11,176,Harmonise Operations & Pricing,Align philanthropic strategies; unify mission of Origin Eyes across businesses; integrate philanthropic goals with operations.,Foundation Board,"[52, 75]",['Philanthropic plan'],Philanthropy strategy unified,36
2026-05-12,177,Harmonise Operations & Pricing,Review and adjust budgets based on harmonization outcomes; reforecast revenues and costs.,CPA,"[152, 157, 174]",['Budget worksheets'],Budgets updated,36
2026-05-13,178,Harmonise Operations & Pricing,Evaluate performance of harmonization; gather feedback from stakeholders; adjust plans accordingly.,You,"[152, 162, 165, 169, 174]",['Feedback surveys'],Harmonization performance reviewed,36
2026-05-14,179,Harmonise Operations & Pricing,Finalize harmonized operations; document final procedures; implement and communicate new standards.,You,[178],['Final SOPs'],Harmonized operations finalized,36
2026-05-15,180,Harmonise Operations & Pricing,Celebrate milestones; send communications; set expectations for upcoming scaling and governance phase.,You,[179],['Celebration plan'],Milestones celebrated and next steps communicated,36
2026-05-18,181,Scale & Governance,Begin due diligence on first acquisition target; review financials and sign NDAs.,M&A Advisor,[180],"['Target list', 'NDA']",Due diligence initiated,37
2026-05-19,182,Scale & Governance,Engage M&A advisor; outline acquisition criteria and prepare pipeline of targets.,You,[181],['Criteria guidelines'],M&A advisor engaged and criteria defined,37
2026-05-20,183,Scale & Governance,Evaluate financing options; meet with SBA lender; gather requirements for loans.,CPA,[182],['Lender information'],Financing options reviewed,37
2026-05-21,184,Scale & Governance,Finalize letter of intent (LOI) for first acquisition; propose purchase terms and schedule negotiation.,M&A Advisor,"[181, 182]",['LOI draft'],LOI prepared,37
2026-05-22,185,Scale & Governance,Perform site visit; inspect operations; meet management; gather data about target business.,You,[184],['Site visit checklist'],Site visit completed,37
2026-05-25,186,Scale & Governance,Conduct quality of earnings analysis; review financial statements; identify adjustments and risks.,CPA,[185],['Financial records'],Quality of earnings analysis completed,38
2026-05-26,187,Scale & Governance,Draft acquisition plan; define integration timeline; allocate resources and team members.,You,[186],['Integration checklist'],Acquisition integration plan drafted,38
2026-05-27,188,Scale & Governance,Perform legal due diligence; review corporate documents and contracts; analyze liabilities and compliance.,Corporate Attorney,"[185, 186]",['Due diligence checklist'],Legal due diligence completed,38
2026-05-28,189,Scale & Governance,Perform environmental and compliance due diligence; hire third-party inspectors; ensure environmental compliance.,Consultants,[185],['Environmental reports'],Environmental due diligence conducted,38
2026-05-29,190,Scale & Governance,Negotiate final purchase agreement; finalize terms; sign and prepare for closing.,M&A Advisor,"[186, 188, 189]",['Purchase agreement'],Purchase agreement finalized,38
2026-06-01,191,Scale & Governance,Secure financing and capital contributions; finalize loan documents; obtain approvals and prepare for funding.,CPA,"[183, 190]",['Loan documents'],Financing secured,39
2026-06-02,192,Scale & Governance,Close acquisition; sign purchase agreement; release funds; transfer ownership of the target company.,You,"[190, 191]",['Closing documents'],Acquisition closed,39
2026-06-03,193,Scale & Governance,Announce acquisition; communicate to employees and stakeholders; update marketing materials.,ToriMedia,[192],"['Press release', 'Internal memo']",Acquisition announcement made,39
2026-06-04,194,Scale & Governance,Begin 100-day integration of new OpCo; align with integration Gantt; start onboarding processes.,You,[192],['Integration plan'],Integration day 1 started,39
2026-06-05,195,Scale & Governance,Onboard new OpCo to SuiteDash; migrate data; train staff on BOS processes.,Automation System,[194],['Data migration tools'],New OpCo onboarded to SuiteDash,39
2026-06-08,196,Scale & Governance,Onboard new OpCo to Neat Circle services; implement service packages and train staff.,Consultants,[194],['Service package documentation'],New OpCo onboarded to Neat Circle,40
2026-06-09,197,Scale & Governance,Start ToriMedia rebranding for new OpCo; design brand assets and launch announcement.,ToriMedia,[194],['Brand assets'],New OpCo rebranding initiated,40
2026-06-10,198,Scale & Governance,Evaluate property of new acquisition; decide on PropCo/OpCo structure; execute sale-leaseback.,You,[192],['Property assessments'],PropCo/OpCo structure decided,40
2026-06-11,199,Scale & Governance,Draft leaseback agreement; sign; transfer property to PropCo; record at county clerk.,Corporate Attorney,[198],['Lease agreement'],Leaseback executed and recorded,40
2026-06-12,200,Scale & Governance,Adjust pricing and operations of new OpCo to align with harmonized standards; update policies and pricing.,You,"[195, 196]",['Harmonized SOPs'],New OpCo pricing and operations aligned,40
2026-06-15,201,Scale & Governance,Review first acquisition integration progress; track metrics; adjust integration plan accordingly.,You,"[194, 195, 196, 197]",['Integration dashboard'],Integration progress reviewed,41
2026-06-16,202,Scale & Governance,Begin due diligence on second acquisition; replicate due diligence and assessment process.,M&A Advisor,"[181, 201]",['Target list'],Second acquisition due diligence begun,41
2026-06-17,203,Scale & Governance,Research potential vertical SaaS product ideas; identify market demand; start designing features.,You,[180],['Market research'],Vertical SaaS opportunities identified,41
2026-06-18,204,Scale & Governance,Evaluate micro-SaaS or directory opportunities; analyze TAM; begin planning for development.,You,[203],['Market analysis'],Micro-SaaS opportunities evaluated,41
2026-06-19,205,Scale & Governance,Set up product development team; allocate resources; choose technology stack for first SaaS product.,You,"[203, 204]",['Team assignments'],Product development team assembled,41
2026-06-22,206,Scale & Governance,"Develop features for first vertical SaaS (e.g., property management CRM); design and build core functionalities.",Automation System,[205],['Development environment'],SaaS core developed,42
2026-06-23,207,Scale & Governance,Conduct user interviews with early adopters; gather feedback; iterate on SaaS product features.,You,[206],['Interview scripts'],User feedback collected,42
2026-06-24,208,Scale & Governance,Work on early prototypes; test with internal team; refine features based on feedback.,Automation System,"[206, 207]",['Prototype'],Prototype refined,42
2026-06-25,209,Scale & Governance,Prepare marketing plan for vertical SaaS; design landing pages; create marketing copy and campaigns.,ToriMedia,"[206, 207, 208]",['Marketing materials'],SaaS marketing plan prepared,42
2026-06-26,210,Scale & Governance,Set up subscription and payment systems for SaaS; integrate with accounting and CRM.,CPA,[206],['Payment platform'],Subscription system configured,42
2026-06-29,211,Scale & Governance,Develop second vertical SaaS or plugin; start building core functionalities and allocate resources.,Automation System,"[205, 206]",['Project plan'],Second vertical SaaS development begun,43
2026-06-30,212,Scale & Governance,Evaluate launching new directory vertical; research domain names; plan website and content architecture.,You,[204],['Domain options'],Directory vertical planned,43
2026-07-01,213,Scale & Governance,Build content and listings for new directory; contact potential advertisers and partners.,You,[212],['Advertiser contacts'],Directory content built,43
2026-07-02,214,Scale & Governance,Create a membership model for directory; set pricing; integrate with CRM for membership management.,CPA,"[212, 213]",['Pricing model'],Directory membership model finalized,43
2026-07-03,215,Scale & Governance,Start philanthropic program through Origin Eyes; select projects; allocate funding and resources.,Foundation Board,[176],['Project proposals'],Philanthropic program started,43
2026-07-06,216,Scale & Governance,Launch first philanthropic initiative (scholarship or community project); create marketing story and promote.,Foundation Board,[215],['Scholarship guidelines'],First philanthropic initiative launched,44
2026-07-07,217,Scale & Governance,Review philanthropic program metrics; adjust giving strategy; plan next community projects.,Foundation Board,[216],['Program metrics'],Philanthropic program metrics reviewed,44
2026-07-08,218,Scale & Governance,Conduct quarterly board meeting; review performance across all entities; approve budgets and next initiatives.,You,"[72, 73]",['Board reports'],Quarterly board meeting held,44
2026-07-09,219,Scale & Governance,Evaluate risk management program; update risk register; implement improvements based on emerging risks.,You,"[68, 175]",['Risk register'],Risk management updated,44
2026-07-10,220,Scale & Governance,Conduct internal audit of compliance; review intercompany transactions; correct any non-compliance issues.,CPA,"[45, 80]",['Audit reports'],Internal compliance audit completed,44
2026-07-13,221,Scale & Governance,Begin due diligence on third acquisition; pre-screen potential targets; schedule interviews.,M&A Advisor,[202],['Target pipeline'],Third acquisition due diligence started,45
2026-07-14,222,Scale & Governance,Finalize acquisition criteria for second quarter; update pipeline with prospects meeting the criteria.,You,[221],['Criteria update'],Updated acquisition criteria,45
2026-07-15,223,Scale & Governance,Evaluate opportunities for cost synergies across OpCos; implement cross-selling and share resources.,You,"[158, 172]",['Synergy report'],Cost synergies identified and implemented,45
2026-07-16,224,Scale & Governance,Conduct annual tax planning meeting with CPA; estimate tax liabilities; identify strategies to reduce taxes.,You,"[80, 177]",['Tax data'],Annual tax planning meeting held,45
2026-07-17,225,Scale & Governance,Review retirement plan performance; adjust contributions; evaluate Cash Balance Plan adoption.,CPA,"[49, 74]",['Retirement plan statements'],Retirement contributions optimized,45
2026-07-20,226,Scale & Governance,Assess technology stack; update or upgrade software; ensure cybersecurity and scalability.,Automation System,[168],['Tech inventory'],Technology stack assessment completed,46
2026-07-21,227,Scale & Governance,"Plan next round of product features; incorporate AI (RAG, LLM) to optimize workflows and decision-making.",You,"[206, 208]",['AI roadmap'],Next product features planned,46
2026-07-22,228,Scale & Governance,Develop agentic service modules; integrate ChatGPT features into SuiteDash workflows and service offerings.,Automation System,[227],"['API keys', 'Design spec']",Agentic services development started,46
2026-07-23,229,Scale & Governance,Write or refine training materials for new AI modules; test with staff to ensure understanding.,Consultants,[228],['Training content'],AI module training materials completed,46
2026-07-24,230,Scale & Governance,Launch beta of vertical SaaS; onboard pilot users; collect feedback and iterate.,Automation System,"[206, 207, 208, 209]",['Beta user list'],SaaS beta launched,46
2026-07-27,231,Scale & Governance,Perform mid-year financial review; adjust forecasts and budgets; update board on financial health.,CPA,"[73, 177]",['Financial statements'],Mid-year financial review completed,47
2026-07-28,232,Scale & Governance,Explore international expansion; research legal and tax issues for potential markets; evaluate digital products for global distribution.,You,[231],['Market research'],International expansion opportunities researched,47
2026-07-29,233,Scale & Governance,Evaluate opportunity to start a venture capital or angel investment arm; discuss strategy with advisors.,You,[231],['Investment proposals'],Investment arm feasibility evaluated,47
2026-07-30,234,Scale & Governance,Plan next philanthropic event or campaign; design concept; prepare marketing and fundraising plan.,Foundation Board,[217],['Campaign plan'],Next philanthropic campaign planned,47
2026-07-31,235,Scale & Governance,Conduct real estate strategy review; decide on acquisitions or sales; update property portfolio plan.,You,"[198, 199]",['Real estate analysis'],Real estate strategy updated,47
2026-08-03,236,Scale & Governance,Prepare for year-end compliance deadlines; review calendar; assign responsibilities and gather documents.,CPA,"[65, 80]",['Compliance calendar'],Year-end compliance preparation started,48
2026-08-04,237,Scale & Governance,Assess board composition; consider adding independent board members; plan recruitment.,You,[72],['Board profiles'],Board composition reviewed,48
2026-08-05,238,Scale & Governance,Finalize second acquisition closing; sign purchase agreement; begin integration process.,You,"[202, 203, 204]",['Purchase documents'],Second acquisition closed,48
2026-08-06,239,Scale & Governance,Evaluate performance of first vertical SaaS; analyze metrics; plan product improvements and marketing adjustments.,Automation System,[230],['Performance data'],SaaS performance evaluated,48
2026-08-07,240,Scale & Governance,Submit annual Form 5500 for 401(k); ensure retirement plan compliance and filing deadlines met.,CPA,[74],['Form 5500'],Form 5500 submitted,48
2026-08-10,241,Scale & Governance,Begin design of new micro-SaaS integration; incorporate user feedback and plan MVP release.,Automation System,[239],['User feedback'],Micro-SaaS design initiated,49
2026-08-11,242,Scale & Governance,Evaluate new technology or integration for marketing automation; plan adoption and testing.,ToriMedia,"[146, 239]",['Tech research'],New marketing tech evaluated,49
2026-08-12,243,Scale & Governance,Perform final philanthropic giving for the year; meet distribution requirements and allocate funds.,Foundation Board,[217],['Foundation budget'],Year-end philanthropic distributions made,49
2026-08-13,244,Scale & Governance,Finalize budgets for next year; incorporate growth initiatives and board-approved expansions; obtain approvals.,CPA,"[231, 232]",['Budget worksheets'],Next year's budget finalized,49
2026-08-14,245,Scale & Governance,Conduct year-end board meeting; review annual performance; approve strategic plan for next year; set goals.,You,[244],['Annual report'],Year-end board meeting completed,49
2026-08-17,246,Scale & Governance,Prepare for year-end tax filings; gather documents; coordinate with CPA and legal team.,You,[236],['Tax documents'],Year-end tax preparation initiated,50
2026-08-18,247,Scale & Governance,Evaluate potential exit strategies for matured OpCos; discuss with advisors; evaluate sale vs. hold scenarios.,You,[233],['Exit strategy analysis'],Exit strategy evaluated,50
2026-08-19,248,Scale & Governance,Prepare pipeline for new acquisitions next year; refresh targets; schedule due diligence phases.,M&A Advisor,[247],['Target list'],New acquisition pipeline prepared,50
2026-08-20,249,Scale & Governance,"Conduct staff performance reviews; plan training, promotions, and succession planning.",You,"[231, 177]",['Performance review templates'],Performance reviews completed,50
2026-08-21,250,Scale & Governance,Evaluate adoption of generative AI for content creation; test with ToriMedia team and measure results.,ToriMedia,[239],['AI tools'],Generative AI adoption evaluated,50
2026-08-24,251,Scale & Governance,Assess marketing ROI; identify the most successful channels; allocate budgets for next year accordingly.,ToriMedia,[244],['Campaign analytics'],Marketing ROI assessed,51
2026-08-25,252,Scale & Governance,Conduct final risk assessment; update risk register; implement control improvements.,You,"[175, 219]",['Risk report'],Final risk assessment completed,51
2026-08-26,253,Scale & Governance,Plan next year's philanthropic budget; allocate funds; design programs; align with mission.,Foundation Board,"[244, 243]",['Budget plans'],Next year’s philanthropic budget planned,51
2026-08-27,254,Scale & Governance,Evaluate insurance policies for renewal; renew or renegotiate coverage; update policies as needed.,Insurance Broker,"[64, 79]",['Insurance policies'],Insurance policies renewed,51
2026-08-28,255,Scale & Governance,Finalize board agenda for next year; schedule meeting dates; prepare invitations and agendas.,You,[245],['Meeting calendar'],Board agenda finalized,51
2026-08-31,256,Scale & Governance,Perform final compliance audit; ensure all state filings and tax filings are complete; remedy any gaps.,CPA,"[236, 240, 246]",['Audit checklist'],Compliance audit completed,52
2026-09-01,257,Scale & Governance,Review training programs and onboarding processes; update materials; implement improvements based on feedback.,Consultants,"[162, 170]",['Training materials'],Training programs updated,52
2026-09-02,258,Scale & Governance,Plan leadership retreat or offsite; schedule dates; design agenda and objectives.,You,[245],['Retreat venue options'],Leadership retreat planned,52
2026-09-03,259,Scale & Governance,Prepare year-end investor report; compile financials; highlight achievements and next steps; send to investors.,CPA,[245],['Investor report template'],Year-end investor report sent,52
2026-09-04,260,Scale & Governance,Finalize year-end tasks; pay final invoices; close books; ensure cash balances and reconciliations are complete.,CPA,"[244, 252]",['Accounts payable'],Year-end financials closed,52
2026-09-07,261,Scale & Governance,Conduct reflection and strategic planning day; evaluate entire year's achievements; identify lessons; set goals for next year.,You,"[244, 252, 260]",['Reflection workbook'],Strategic planning for next year completed,53
